c  The total flow:
s 11

c flow values:
f 0 116 9
f 1 8 0
f 2 1 0
f 3 13 9
f 4 14 0
f 5 4 0
f 6 3 9
f 7 2 0
f 8 13 0
f 9 18 0
f 10 164 0
f 10 17 0
f 11 12 4
f 12 123 4
f 13 0 9
f 14 153 0
f 15 20 4
f 16 15 4
f 17 147 0
f 18 141 0
f 19 18 0
f 20 21 4
f 21 22 4
f 22 6 4
f 23 55 0
f 24 23 0
f 25 7 0
f 26 183 5
f 27 26 5
f 28 156 1
f 29 28 1
f 29 346 1
f 30 31 1
f 31 332 1
f 32 97 0
f 33 32 0
f 34 35 1
f 35 36 1
f 36 221 1
f 37 204 1
f 38 41 1
f 39 353 2
f 40 39 1
f 41 40 1
f 42 38 1
f 43 45 1
f 44 43 1
f 45 50 1
f 46 47 1
f 47 48 1
f 48 44 1
f 49 53 1
f 50 51 1
f 51 52 1
f 52 49 1
f 53 131 1
f 54 24 0
f 55 56 0
f 56 182 0
f 57 58 0
f 58 69 0
f 59 288 0
f 60 287 3
f 61 283 0
f 62 280 0
f 63 107 5
f 64 65 5
f 64 67 0
f 65 63 5
f 66 294 5
f 67 87 0
f 68 64 5
f 69 151 0
f 70 1 0
f 71 70 0
f 72 73 0
f 73 74 0
f 74 77 0
f 75 302 0
f 76 140 0
f 77 316 0
f 78 72 0
f 78 76 0
f 79 349 0
f 80 88 0
f 81 83 0
f 82 209 0
f 83 78 0
f 84 78 0
f 85 80 0
f 85 81 0
f 86 82 0
f 87 85 0
f 88 77 0
f 89 90 0
f 90 95 0
f 91 146 0
f 92 96 5
f 93 111 5
f 94 93 1
f 95 110 0
f 96 143 5
f 97 96 0
f 98 93 4
f 99 94 1
f 100 105 0
f 101 98 4
f 101 99 1
f 102 101 5
f 103 135 0
f 104 103 0
f 105 129 0
f 106 102 5
f 107 106 5
f 108 144 0
f 109 108 0
f 110 109 0
f 111 112 5
f 112 150 5
f 113 103 0
f 114 109 0
f 115 92 5
f 116 117 9
f 117 118 9
f 118 353 9
f 119 121 0
f 120 181 0
f 121 167 0
f 122 149 0
f 123 344 4
f 124 137 0
f 125 139 0
f 126 128 0
f 127 133 2
f 127 126 0
f 128 130 0
f 129 98 0
f 130 279 0
f 131 30 1
f 132 261 5
f 133 134 2
f 134 152 2
f 135 136 0
f 136 313 0
f 136 125 0
f 137 16 4
f 138 137 4
f 139 124 0
f 140 113 0
f 141 142 0
f 142 175 0
f 143 6 5
f 144 33 0
f 145 114 0
f 146 145 0
f 147 54 0
f 148 136 0
f 149 9 0
f 150 312 0
f 150 310 5
f 151 329 0
f 152 271 2
f 153 155 0
f 153 172 0
f 154 25 0
f 155 154 0
f 156 157 1
f 157 163 1
f 158 159 1
f 159 160 1
f 160 252 1
f 161 91 0
f 162 330 1
f 163 162 1
f 164 165 0
f 165 259 0
f 166 122 0
f 167 166 0
f 168 169 4
f 169 179 4
f 170 171 4
f 171 337 4
f 172 57 0
f 173 174 0
f 174 180 0
f 175 120 0
f 176 168 4
f 177 178 0
f 178 173 0
f 179 170 4
f 180 323 0
f 181 177 0
f 182 210 0
f 183 207 5
f 184 185 0
f 185 324 0
f 186 188 0
f 187 184 0
f 188 189 0
f 189 187 0
f 190 186 0
f 191 194 1
f 192 193 1
f 193 345 1
f 194 195 1
f 195 192 1
f 196 191 1
f 197 199 1
f 198 197 1
f 199 200 1
f 200 220 1
f 201 203 1
f 202 217 1
f 203 202 1
f 204 205 1
f 205 225 1
f 206 235 1
f 207 132 5
f 208 263 5
f 209 315 0
f 210 211 0
f 210 321 0
f 211 319 0
f 212 219 1
f 213 212 1
f 214 216 1
f 215 214 1
f 216 213 1
f 217 215 1
f 218 201 1
f 219 229 1
f 220 218 1
f 221 258 1
f 222 348 1
f 223 37 1
f 224 226 1
f 225 224 1
f 226 231 1
f 227 206 1
f 228 244 1
f 229 223 1
f 230 227 1
f 231 230 1
f 232 233 1
f 233 249 1
f 234 232 1
f 235 234 1
f 236 241 1
f 237 236 1
f 238 239 1
f 239 237 1
f 240 238 1
f 241 245 1
f 242 42 1
f 243 242 1
f 244 246 1
f 245 39 1
f 246 222 1
f 247 243 1
f 248 247 1
f 249 228 1
f 250 240 1
f 251 335 1
f 252 256 1
f 253 339 1
f 254 248 1
f 255 343 1
f 256 254 1
f 257 46 1
f 258 257 1
