c maxflow small problem
c ACCELL project
c
c problem line
p	max	1157	1420
c	source
n	1156	s
c	sink
n	1157	t
c	arc	descriptors
a	1156	14	0
a	1156	23	0
a	1156	24	0
a	1156	43	0
a	1156	45	62
a	1156	52	0
a	1156	53	0
a	1156	59	35
a	1156	60	0
a	1156	61	0
a	1156	62	0
a	1156	63	0
a	1156	64	0
a	1156	65	0
a	1156	66	0
a	1156	67	0
a	1156	71	45
a	1156	72	45
a	1156	75	45
a	1156	77	45
a	1156	78	45
a	1156	80	45
a	1156	81	45
a	1156	82	0
a	1156	83	0
a	1156	86	0
a	1156	87	0
a	1156	95	0
a	1156	97	0
a	1156	105	0
a	1156	109	0
a	1156	110	0
a	1156	111	0
a	1156	112	0
a	1156	113	0
a	1156	114	0
a	1156	115	0
a	1156	116	0
a	1156	117	0
a	1156	118	0
a	1156	119	0
a	1156	120	0
a	1156	121	0
a	1156	122	0
a	1156	126	0
a	1156	128	0
a	1156	129	0
a	1156	131	0
a	1156	133	0
a	1156	134	0
a	14	257	250
a	257	255	250
a	255	913	500
a	913	424	250
a	424	423	250
a	423	1032	250
a	1032	1125	1350
a	1125	1126	1350
a	1126	1135	1350
a	1135	1136	1350
a	1136	1143	1350
a	1143	1144	1350
a	1144	1119	1350
a	1119	1120	1350
a	1120	1030	1350
a	1030	1132	1350
a	1132	1145	1350
a	1145	1146	1350
a	1146	1148	1350
a	1148	1149	1350
a	1149	1154	1350
a	1154	976	1350
a	976	1128	1350
a	1128	1127	1350
a	1127	1152	1350
a	1152	1124	1350
a	1124	1123	1350
a	1123	373	1350
a	373	350	250
a	350	4	250
a	4	1	250
a	1	5	250
a	5	351	250
a	351	352	250
a	352	1076	625
a	1076	1077	625
a	1077	689	625
a	689	688	500
a	688	179	500
a	179	180	500
a	180	691	500
a	691	630	500
a	630	629	500
a	629	386	500
a	386	385	500
a	385	626	500
a	626	625	500
a	625	628	500
a	628	627	500
a	627	621	500
a	621	622	500
a	622	624	500
a	624	623	500
a	623	608	500
a	608	609	500
a	609	607	500
a	607	140	500
a	140	136	500
a	136	139	500
a	139	138	500
a	138	137	500
a	14	13	625
a	13	31	625
a	31	375	500
a	375	377	500
a	377	376	500
a	376	41	500
a	41	37	500
a	37	258	500
a	258	378	500
a	378	919	500
a	919	915	500
a	915	261	500
a	261	253	500
a	253	254	500
a	254	259	500
a	259	912	250
a	912	910	500
a	910	907	500
a	907	908	500
a	908	247	500
a	247	899	500
a	899	906	500
a	906	903	500
a	903	897	500
a	897	896	500
a	896	905	500
a	905	248	500
a	248	245	500
a	245	249	625
a	249	867	1000
a	867	421	1000
a	421	422	1000
a	422	1042	1000
a	1042	1051	1000
a	1051	525	1000
a	525	831	625
a	831	833	625
a	833	783	750
a	783	782	750
a	782	799	750
a	799	800	750
a	800	798	750
a	798	789	750
a	789	794	750
a	794	507	750
a	507	786	750
a	786	787	750
a	787	796	625
a	796	765	625
a	765	768	625
a	768	767	625
a	767	766	625
a	766	763	937
a	763	764	937
a	764	759	937
a	759	734	937
a	734	735	937
a	735	739	937
a	739	738	937
a	738	737	937
a	737	725	500
a	725	724	500
a	724	740	500
a	740	745	1000
a	745	991	1000
a	991	723	1000
a	723	992	1000
a	992	728	1000
a	728	726	1000
a	726	727	1000
a	727	729	1000
a	729	730	1000
a	730	699	1000
a	699	702	1000
a	702	709	1000
a	709	703	1000
a	703	711	1000
a	711	710	1000
a	710	707	1000
a	707	708	1000
a	708	704	1000
a	704	998	1000
a	998	999	500
a	999	993	1000
a	993	705	1000
a	705	718	1000
a	718	717	1000
a	717	714	1000
a	714	201	1000
a	201	425	1000
a	425	426	1000
a	426	196	1000
a	196	695	1000
a	695	694	1000
a	694	197	1000
a	197	427	1000
a	427	428	1000
a	428	335	1000
a	335	336	625
a	336	191	625
a	191	3	625
a	3	2	625
a	2	333	625
a	333	55	625
a	55	56	625
a	56	1046	1000
a	1046	1045	750
a	1045	1069	750
a	1069	1053	750
a	1053	1052	750
a	1052	659	750
a	659	1070	750
a	1070	1065	750
a	1065	653	750
a	653	1062	750
a	1062	651	750
a	651	1054	750
a	1054	1055	750
a	1055	1066	750
a	1066	389	250
a	389	390	250
a	390	391	250
a	391	652	500
a	652	662	500
a	662	654	500
a	654	618	500
a	618	617	500
a	617	609	500
a	375	431	250
a	431	260	500
a	260	433	500
a	433	436	500
a	436	434	500
a	434	972	500
a	972	1150	1350
a	1150	1034	1350
a	1034	1113	1350
a	1113	1114	1350
a	1114	1032	1350
a	1030	983	250
a	983	801	250
a	801	984	500
a	984	980	500
a	980	985	500
a	985	1089	500
a	1089	1082	625
a	1082	1085	625
a	1085	975	625
a	975	1086	625
a	1086	1073	625
a	1073	1074	625
a	1074	400	625
a	400	772	625
a	772	771	1000
a	771	1040	1000
a	1040	1041	1000
a	1041	1039	1000
a	1039	1038	1000
a	1038	770	1000
a	770	397	1000
a	397	1035	1000
a	1035	1036	1000
a	1036	1037	1000
a	1037	722	1000
a	722	208	1000
a	208	209	250
a	209	48	500
a	48	47	250
a	47	463	1000
a	463	461	1000
a	461	459	625
a	459	453	625
a	453	457	625
a	457	458	625
a	458	1044	1000
a	1044	697	1000
a	697	355	750
a	355	199	1000
a	199	462	1000
a	462	395	625
a	395	178	625
a	178	173	250
a	173	172	500
a	172	181	500
a	181	1029	500
a	1029	353	625
a	353	175	625
a	175	690	250
a	690	176	500
a	176	688	500
a	23	35	625
a	35	365	500
a	365	218	500
a	218	39	500
a	39	38	500
a	38	219	500
a	219	220	250
a	220	526	500
a	526	527	500
a	527	829	500
a	829	826	500
a	826	823	500
a	823	821	500
a	821	819	500
a	819	825	500
a	825	824	500
a	824	828	500
a	828	827	500
a	827	956	500
a	956	955	500
a	955	954	500
a	954	953	500
a	953	957	500
a	957	923	500
a	923	924	500
a	924	926	500
a	926	933	250
a	933	517	250
a	517	262	500
a	262	987	500
a	987	989	250
a	989	990	250
a	990	986	250
a	986	925	500
a	925	927	500
a	927	922	500
a	922	930	500
a	930	920	500
a	920	928	500
a	928	929	500
a	929	932	500
a	932	935	500
a	935	921	500
a	921	995	500
a	995	994	500
a	994	876	500
a	876	516	500
a	516	996	500
a	996	869	500
a	869	874	500
a	874	873	500
a	873	337	500
a	337	515	500
a	515	443	500
a	443	44	500
a	44	816	1000
a	816	1098	1000
a	1098	868	1000
a	868	875	1000
a	875	1106	1000
a	1106	1100	1000
a	1100	224	1000
a	224	1104	1000
a	1104	236	1000
a	236	1101	1000
a	1101	1103	1000
a	1103	222	1000
a	222	229	1000
a	229	227	1000
a	227	843	1000
a	843	842	1000
a	842	1102	1000
a	1102	1099	1000
a	1099	1105	1000
a	1105	223	1000
a	223	234	1000
a	234	235	1000
a	235	852	1000
a	852	1001	1000
a	1001	978	1000
a	978	1020	1000
a	1020	1108	1000
a	1108	1107	1000
a	1107	331	1000
a	331	776	1000
a	776	779	1000
a	779	778	1000
a	778	482	1000
a	482	974	500
a	974	774	500
a	774	743	500
a	743	737	500
a	39	40	625
a	40	22	500
a	22	374	500
a	374	27	500
a	27	30	500
a	30	359	500
a	359	358	250
a	358	830	500
a	830	822	500
a	822	818	500
a	818	217	500
a	217	820	500
